r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
70 0.052765 0.061445 0.069831 0.077936 0.085769 24.464 24.071 23.686 23.311 22.944
70.5 0.052388 0.061006 0.069332 0.077378 0.085155 24.103 23.717 23.338 22.969 22.608
71 0.052015 0.060571 0.068838 0.076827 0.084548 23.746 23.366 22.994 22.63 22.275
71.5 0.051645 0.060141 0.068349 0.076281 0.083948 23.391 23.017 22.652 22.294 21.945
72 0.05128 0.059715 0.067865 0.075741 0.083354 23.04 22.672 22.313 21.962 21.618
72.5 0.050918 0.059294 0.067386 0.075207 0.082766 22.691 22.33 21.977 21.632 21.294
73 0.05056 0.058877 0.066913 0.074678 0.082184 22.346 21.991 21.644 21.305 20.972
73.5 0.050206 0.058465 0.066444 0.074156 0.081609 22.003 21.655 21.314 20.98 20.654
74 0.049856 0.058057 0.065981 0.073638 0.08104 21.664 21.322 20.987 20.659 20.338
74.5 0.04951 0.057654 0.065523 0.073127 0.080477 21.328 20.992 20.663 20.341 20.026
75 0.049167 0.057255 0.065069 0.072621 0.07992 20.994 20.665 20.342 20.026 19.716
75.5 0.048828 0.05686 0.064621 0.07212 0.079369 20.664 20.341 20.024 19.713 19.409
76 0.048493 0.05647 0.064177 0.071625 0.078824 20.337 20.02 19.709 19.404 19.105
76.5 0.048161 0.056084 0.063738 0.071135 0.078285 20.013 19.702 19.396 19.097 18.803
77 0.047833 0.055702 0.063304 0.070651 0.077752 19.692 19.387 19.087 18.793 18.505
77.5 0.047509 0.055324 0.062875 0.070172 0.077225 19.373 19.074 18.781 18.492 18.209
78 0.047189 0.054951 0.062451 0.069699 0.076704 19.058 18.765 18.477 18.194 17.917
78.5 0.046871 0.054582 0.062031 0.06923 0.076188 18.746 18.459 18.176 17.899 17.627
79 0.046558 0.054217 0.061616 0.068767 0.075679 18.437 18.156 17.879 17.607 17.34
79.5 0.046248 0.053856 0.061206 0.068309 0.075175 18.131 17.855 17.584 17.317 17.055
80 0.045941 0.053499 0.0608 0.067856 0.074677 17.828 17.558 17.292 17.031 16.774
80.5 0.045638 0.053146 0.060399 0.067409 0.074184 17.527 17.263 17.003 16.747 16.495
81 0.045339 0.052797 0.060003 0.066966 0.073697 17.23 16.972 16.717 16.466 16.219
81.5 0.045043 0.052452 0.059611 0.066529 0.073216 16.936 16.683 16.434 16.188 15.946
82 0.04475 0.052111 0.059224 0.066097 0.07274 16.645 16.397 16.153 15.913 15.676
82.5 0.044461 0.051774 0.058841 0.065669 0.07227 16.356 16.114 15.876 15.64 15.409
83 0.044175 0.051441 0.058462 0.065247 0.071805 16.071 15.835 15.601 15.371 15.144
83.5 0.043892 0.051112 0.058088 0.06483 0.071346 15.789 15.558 15.329 15.104 14.882
84 0.043613 0.050787 0.057719 0.064417 0.070892 15.509 15.283 15.06 14.84 14.623
84.5 0.043337 0.050466 0.057353 0.06401 0.070443 15.233 15.012 14.794 14.579 14.366
85 0.043064 0.050148 0.056993 0.063607 0.07 14.959 14.744 14.531 14.32 14.112
85.5 0.042795 0.049834 0.056636 0.063209 0.069562 14.688 14.478 14.27 14.065 13.861
86 0.042529 0.049524 0.056284 0.062816 0.069129 14.42 14.216 14.013 13.812 13.613
86.5 0.042266 0.049218 0.055936 0.062427 0.068702 14.156 13.956 13.758 13.562 13.368
87 0.042006 0.048916 0.055592 0.062044 0.068279 13.894 13.699 13.506 13.314 13.125
87.5 0.041749 0.048617 0.055252 0.061665 0.067862 13.635 13.445 13.257 13.07 12.885
88 0.041496 0.048322 0.054917 0.06129 0.06745 13.379 13.194 13.01 12.828 12.647
88.5 0.041246 0.04803 0.054586 0.060921 0.067044 13.125 12.946 12.767 12.589 12.413
89 0.040998 0.047743 0.054259 0.060556 0.066642 12.875 12.7 12.526 12.352 12.181
89.5 0.040754 0.047458 0.053936 0.060195 0.066245 12.627 12.457 12.288 12.119 11.951
90 0.040513 0.047178 0.053617 0.059839 0.065854 12.383 12.218 12.052 11.888 11.724
90.5 0.040276 0.046901 0.053302 0.059488 0.065467 12.141 11.98 11.82 11.66 11.5
91 0.040041 0.046627 0.052991 0.059141 0.065085 11.902 11.746 11.59 11.434 11.279
91.5 0.039809 0.046357 0.052685 0.058799 0.064709 11.666 11.515 11.363 11.211 11.06
92 0.03958 0.046091 0.052382 0.058461 0.064337 11.433 11.286 11.138 10.991 10.844
92.5 0.039354 0.045828 0.052083 0.058127 0.06397 11.202 11.06 10.917 10.774 10.631
93 0.039132 0.045569 0.051788 0.057798 0.063608 10.975 10.837 10.698 10.559 10.42
93.5 0.038912 0.045313 0.051497 0.057474 0.06325 10.75 10.616 10.482 10.346 10.211
94 0.038695 0.04506 0.05121 0.057153 0.062898 10.528 10.399 10.268 10.137 10.006
94.5 0.038481 0.044811 0.050927 0.056837 0.06255 10.309 10.184 10.057 9.9299 9.8025
95 0.03827 0.044565 0.050648 0.056526 0.062207 10.092 9.9714 9.849 9.7256 9.6019
95.5 0.038062 0.044323 0.050372 0.056218 0.061869 9.8785 9.7619 9.6434 9.5239 9.4039
96 0.037857 0.044084 0.050101 0.055915 0.061535 9.6676 9.5551 9.4405 9.3248 9.2084
96.5 0.037654 0.043848 0.049833 0.055616 0.061206 9.4594 9.3509 9.2403 9.1282 9.0155
97 0.037455 0.043616 0.049569 0.055321 0.060882 9.254 9.1495 9.0426 8.9343 8.825
97.5 0.037258 0.043387 0.049308 0.055031 0.060562 9.0513 8.9507 8.8476 8.7428 8.6371
98 0.037064 0.043161 0.049052 0.054745 0.060247 8.8513 8.7546 8.6552 8.554 8.4517
98.5 0.036873 0.042939 0.048799 0.054462 0.059936 8.6541 8.5611 8.4653 8.3677 8.2687
99 0.036685 0.042719 0.04855 0.054184 0.05963 8.4595 8.3702 8.2781 8.1839 8.0883
99.5 0.036499 0.042503 0.048304 0.05391 0.059329 8.2676 8.182 8.0934 8.0026 7.9103
100 0.036317 0.042291 0.048063 0.053641 0.059032 8.0784 7.9964 7.9112 7.8238 7.7347
100.5 0.036137 0.042081 0.047824 0.053375 0.058739 7.8919 7.8134 7.7316 7.6475 7.5616
101 0.03596 0.041875 0.04759 0.053113 0.058451 7.708 7.633 7.5546 7.4736 7.3908
101.5 0.035785 0.041672 0.047359 0.052855 0.058168 7.5267 7.4552 7.38 7.3023 7.2225
102 0.035613 0.041471 0.047132 0.052602 0.057888 7.3481 7.2799 7.208 7.1333 7.0566
102.5 0.035444 0.041275 0.046908 0.052352 0.057614 7.1721 7.1071 7.0384 6.9668 6.8931
103 0.035278 0.041081 0.046688 0.052106 0.057343 6.9986 6.9369 6.8713 6.8027 6.7319
