r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
48 0.0525 0.06232 0.072176 0.081858 0.091321 59.187 57.2 54.866 52.577 50.436
48.5 0.051707 0.061405 0.071144 0.080713 0.090064 59.025 57.013 54.655 52.347 50.191
49 0.050929 0.060505 0.07013 0.079587 0.088829 58.864 56.828 54.446 52.119 49.948
49.5 0.050163 0.059621 0.069132 0.07848 0.087615 58.704 56.645 54.24 51.894 49.708
50 0.049411 0.058752 0.068152 0.077391 0.086421 58.547 56.463 54.036 51.671 49.471
50.5 0.048671 0.057897 0.067188 0.076321 0.085247 58.391 56.284 53.834 51.451 49.237
51 0.047944 0.057057 0.06624 0.075269 0.084092 58.237 56.107 53.635 51.232 49.005
51.5 0.04723 0.056231 0.065308 0.074234 0.082957 58.085 55.932 53.437 51.017 48.775
52 0.046527 0.055419 0.064391 0.073216 0.08184 57.934 55.759 53.242 50.803 48.548
52.5 0.045836 0.05462 0.06349 0.072215 0.080742 57.785 55.588 53.048 50.592 48.323
53 0.045157 0.053834 0.062603 0.07123 0.079662 57.638 55.418 52.857 50.383 48.1
53.5 0.044488 0.053062 0.061731 0.070262 0.078599 57.492 55.25 52.667 50.176 47.88
54 0.043831 0.052302 0.060873 0.069309 0.077554 57.348 55.084 52.48 49.971 47.662
54.5 0.043185 0.051554 0.06003 0.068372 0.076526 57.205 54.919 52.294 49.768 47.446
55 0.042549 0.050819 0.0592 0.067451 0.075515 57.064 54.756 52.11 49.567 47.232
55.5 0.041924 0.050096 0.058383 0.066544 0.074519 56.924 54.594 51.928 49.368 47.02
56 0.041309 0.049385 0.05758 0.065652 0.07354 56.785 54.434 51.747 49.171 46.811
56.5 0.040704 0.048685 0.05679 0.064774 0.072577 56.648 54.276 51.568 48.976 46.603
57 0.040109 0.047997 0.056013 0.063911 0.071629 56.512 54.119 51.391 48.782 46.397
57.5 0.039524 0.047319 0.055248 0.063061 0.070697 56.377 53.963 51.215 48.591 46.193
58 0.038948 0.046653 0.054496 0.062225 0.069779 56.243 53.809 51.041 48.401 45.991
58.5 0.038382 0.045998 0.053755 0.061402 0.068876 56.111 53.656 50.869 48.212 45.791
59 0.037824 0.045353 0.053027 0.060593 0.067988 55.979 53.504 50.698 48.026 45.592
59.5 0.037276 0.044718 0.05231 0.059796 0.067113 55.849 53.354 50.528 47.841 45.396
60 0.036737 0.044094 0.051605 0.059012 0.066253 55.72 53.205 50.36 47.658 45.201
60.5 0.036206 0.04348 0.050911 0.058241 0.065406 55.592 53.057 50.193 47.476 45.008
61 0.035684 0.042876 0.050228 0.057482 0.064572 55.465 52.91 50.028 47.296 44.816
61.5 0.035171 0.042281 0.049556 0.056735 0.063752 55.339 52.765 49.864 47.117 44.626
62 0.034666 0.041696 0.048895 0.056 0.062945 55.213 52.62 49.701 46.939 44.438
62.5 0.034169 0.04112 0.048244 0.055276 0.06215 55.089 52.477 49.54 46.764 44.251
63 0.033679 0.040554 0.047603 0.054564 0.061368 54.966 52.334 49.379 46.589 44.066
63.5 0.033198 0.039996 0.046973 0.053864 0.060599 54.843 52.193 49.22 46.416 43.882
64 0.032725 0.039448 0.046353 0.053174 0.059841 54.721 52.053 49.063 46.244 43.7
64.5 0.032259 0.038908 0.045743 0.052495 0.059096 54.6 51.913 48.906 46.074 43.519
65 0.031801 0.038377 0.045142 0.051827 0.058362 54.48 51.775 48.75 45.905 43.339
65.5 0.03135 0.037854 0.044551 0.051169 0.057639 54.361 51.637 48.596 45.737 43.161
66 0.030906 0.03734 0.043969 0.050522 0.056928 54.242 51.501 48.443 45.571 42.985
66.5 0.030469 0.036834 0.043396 0.049885 0.056229 54.124 51.365 48.291 45.405 42.809
67 0.03004 0.036335 0.042833 0.049258 0.05554 54.006 51.23 48.139 45.241 42.636
67.5 0.029617 0.035845 0.042278 0.048641 0.054862 53.89 51.096 47.989 45.078 42.463
68 0.029201 0.035363 0.041732 0.048034 0.054194 53.773 50.963 47.84 44.916 42.292
68.5 0.028792 0.034888 0.041195 0.047436 0.053538 53.658 50.831 47.692 44.756 42.121
69 0.028389 0.034421 0.040667 0.046848 0.052891 53.543 50.699 47.545 44.596 41.953
69.5 0.027993 0.033962 0.040146 0.046269 0.052255 53.429 50.569 47.399 44.438 41.785
70 0.027603 0.03351 0.039635 0.045699 0.051628 53.315 50.438 47.253 44.28 41.618
70.5 0.02722 0.033065 0.039131 0.045138 0.051012 53.202 50.309 47.109 44.124 41.453
71 0.026842 0.032627 0.038635 0.044587 0.050405 53.089 50.18 46.965 43.969 41.289
71.5 0.026471 0.032196 0.038147 0.044043 0.049808 52.977 50.052 46.823 43.815 41.126
72 0.026106 0.031772 0.037667 0.043509 0.04922 52.865 49.925 46.681 43.661 40.964
72.5 0.025747 0.031355 0.037194 0.042982 0.048641 52.754 49.799 46.54 43.509 40.803
73 0.025393 0.030945 0.03673 0.042465 0.048072 52.643 49.672 46.4 43.358 40.643
73.5 0.025046 0.030541 0.036272 0.041955 0.047511 52.533 49.547 46.26 43.207 40.485
74 0.024704 0.030144 0.035822 0.041454 0.04696 52.423 49.422 46.122 43.058 40.327
74.5 0.024367 0.029753 0.035379 0.04096 0.046417 52.313 49.298 45.984 42.909 40.17
75 0.024036 0.029368 0.034943 0.040475 0.045883 52.204 49.174 45.847 42.762 40.015
75.5 0.023711 0.02899 0.034514 0.039997 0.045357 52.095 49.051 45.711 42.615 39.86
76 0.023391 0.028618 0.034092 0.039526 0.04484 51.986 48.929 45.575 42.469 39.707
76.5 0.023076 0.028252 0.033677 0.039064 0.044331 51.878 48.807 45.44 42.324 39.554
77 0.022766 0.027892 0.033269 0.038609 0.04383 51.77 48.685 45.306 42.18 39.402
77.5 0.022461 0.027538 0.032867 0.038161 0.043337 51.663 48.564 45.172 42.036 39.251
78 0.022162 0.02719 0.032472 0.03772 0.042852 51.556 48.444 45.039 41.894 39.101
