r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
58 0.011923 0.013915 0.015851 0.017733 0.019563 18.755 17.816 16.905 16.023 15.166
58.5 0.011776 0.013744 0.015656 0.017514 0.019322 18.345 17.421 16.525 15.657 14.815
59 0.011631 0.013575 0.015463 0.017299 0.019085 17.941 17.032 16.151 15.297 14.469
59.5 0.011489 0.013408 0.015273 0.017087 0.018851 17.544 16.65 15.783 14.943 14.13
60 0.011348 0.013244 0.015087 0.016878 0.01862 17.154 16.274 15.421 14.596 13.796
60.5 0.01121 0.013082 0.014902 0.016672 0.018392 16.77 15.904 15.066 14.254 13.468
61 0.011073 0.012923 0.014721 0.016469 0.018168 16.392 15.541 14.716 13.918 13.146
61.5 0.010938 0.012766 0.014542 0.016268 0.017947 16.021 15.183 14.373 13.588 12.83
62 0.010806 0.012611 0.014365 0.016071 0.01773 15.656 14.832 14.035 13.264 12.519
62.5 0.010675 0.012458 0.014191 0.015876 0.017515 15.297 14.486 13.703 12.946 12.213
63 0.010546 0.012308 0.01402 0.015684 0.017303 14.943 14.147 13.377 12.633 11.914
63.5 0.010419 0.012159 0.013851 0.015495 0.017095 14.596 13.813 13.056 12.325 11.619
64 0.010293 0.012013 0.013684 0.015309 0.016889 14.255 13.485 12.741 12.023 11.33
64.5 0.01017 0.011869 0.01352 0.015125 0.016686 13.919 13.163 12.432 11.727 11.046
65 0.010048 0.011726 0.013358 0.014944 0.016486 13.589 12.846 12.128 11.435 10.767
65.5 0.0099275 0.011586 0.013198 0.014765 0.016289 13.265 12.534 11.829 11.149 10.493
66 0.0098089 0.011448 0.01304 0.014588 0.016094 12.946 12.228 11.536 10.868 10.225
66.5 0.009692 0.011311 0.012885 0.014415 0.015902 12.633 11.928 11.248 10.593 9.9611
67 0.0095767 0.011177 0.012731 0.014243 0.015713 12.325 11.633 10.965 10.322 9.7024
67.5 0.0094629 0.011044 0.01258 0.014074 0.015527 12.023 11.342 10.687 10.056 9.4486
68 0.0093507 0.010913 0.012431 0.013907 0.015342 11.725 11.058 10.415 9.7954 9.1995
68.5 0.0092401 0.010784 0.012284 0.013742 0.015161 11.434 10.778 10.147 9.5395 8.9552
69 0.0091309 0.010656 0.012139 0.01358 0.014982 11.147 10.503 9.8841 9.2884 8.7156
69.5 0.0090232 0.010531 0.011996 0.01342 0.014805 10.865 10.234 9.6262 9.042 8.4807
70 0.008917 0.010407 0.011854 0.013262 0.014631 10.589 9.969 9.3731 8.8004 8.2503
70.5 0.0088122 0.010284 0.011715 0.013106 0.014459 10.317 9.7092 9.1248 8.5634 8.0244
71 0.0087088 0.010164 0.011578 0.012952 0.014289 10.051 9.4542 8.8812 8.331 7.803
71.5 0.0086068 0.010045 0.011442 0.012801 0.014122 9.7891 9.204 8.6423 8.1031 7.586
72 0.0085062 0.0099272 0.011308 0.012651 0.013957 9.5323 8.9586 8.4079 7.8798 7.3734
72.5 0.0084069 0.0098113 0.011176 0.012503 0.013794 9.2803 8.7177 8.1781 7.6608 7.1651
73 0.0083089 0.009697 0.011046 0.012357 0.013633 9.033 8.4816 7.9529 7.4462 6.961
73.5 0.0082122 0.0095841 0.010917 0.012214 0.013474 8.7903 8.2499 7.732 7.236 6.7612
74 0.0081167 0.0094728 0.010791 0.012072 0.013318 8.5523 8.0228 7.5156 7.03 6.5655
74.5 0.0080226 0.0093629 0.010665 0.011932 0.013163 8.3189 7.8001 7.3035 6.8283 6.3739
75 0.0079296 0.0092544 0.010542 0.011793 0.013011 8.09 7.5819 7.0957 6.6307 6.1863
75.5 0.0078379 0.0091474 0.01042 0.011657 0.01286 7.8656 7.368 6.8921 6.4373 6.0028
76 0.0077474 0.0090417 0.0103 0.011522 0.012712 7.6456 7.1584 6.6927 6.2479 5.8233
76.5 0.0076581 0.0089375 0.010181 0.01139 0.012565 7.43 6.9531 6.4975 6.0625 5.6476
77 0.0075699 0.0088346 0.010064 0.011258 0.012421 7.2187 6.752 6.3064 5.8812 5.4758
77.5 0.0074829 0.008733 0.0099479 0.011129 0.012278 7.0116 6.555 6.1193 5.7038 5.3078
78 0.007397 0.0086327 0.0098337 0.011001 0.012137 6.8088 6.3622 5.9362 5.5302 5.1436
78.5 0.0073122 0.0085338 0.0097209 0.010875 0.011998 6.6102 6.1734 5.7571 5.3605 4.9831
79 0.0072284 0.0084361 0.0096097 0.010751 0.01186 6.4157 5.9886 5.5818 5.1946 4.8263
79.5 0.0071458 0.0083396 0.0094998 0.010628 0.011725 6.2253 5.8079 5.4105 5.0324 4.6731
80 0.0070642 0.0082444 0.0093913 0.010506 0.011591 6.0389 5.631 5.2429 4.874 4.5235
80.5 0.0069837 0.0081504 0.0092843 0.010387 0.011459 5.8565 5.458 5.0791 4.7191 4.3774
81 0.0069042 0.0080576 0.0091786 0.010268 0.011328 5.6781 5.2889 4.9191 4.5679 4.2348
81.5 0.0068257 0.007966 0.0090742 0.010152 0.011199 5.5036 5.1236 4.7627 4.4203 4.0957
82 0.0067482 0.0078755 0.0089712 0.010036 0.011072 5.3329 4.9619 4.6099 4.2761 3.9599
82.5 0.0066716 0.0077862 0.0088694 0.0099225 0.010947 5.166 4.804 4.4607 4.1354 3.8275
83 0.0065961 0.0076981 0.008769 0.0098101 0.010823 5.0029 4.6498 4.3151 3.9982 3.6984
83.5 0.0065215 0.007611 0.0086698 0.0096992 0.0107 4.8436 4.4992 4.173 3.8643 3.5726
84 0.0064478 0.007525 0.0085719 0.0095896 0.010579 4.6879 4.3521 4.0343 3.7338 3.4499
84.5 0.0063751 0.0074401 0.0084752 0.0094814 0.01046 4.5358 4.2085 3.899 3.6065 3.3305
85 0.0063032 0.0073563 0.0083797 0.0093746 0.010342 4.3873 4.0684 3.7671 3.4825 3.2141
85.5 0.0062323 0.0072735 0.0082853 0.0092691 0.010226 4.2424 3.9318 3.6384 3.3617 3.1009
86 0.0061622 0.0071917 0.0081922 0.0091649 0.010111 4.101 3.7985 3.5131 3.244 2.9906
86.5 0.0060931 0.007111 0.0081003 0.009062 0.0099973 3.963 3.6686 3.391 3.1295 2.8834
87 0.0060247 0.0070313 0.0080094 0.0089604 0.0098852 3.8284 3.542 3.272 3.018 2.7791
87.5 0.0059573 0.0069525 0.0079197 0.00886 0.0097745 3.6972 3.4186 3.1562 2.9095 2.6777
88 0.0058906 0.0068747 0.0078311 0.0087609 0.0096652 3.5693 3.2984 3.0435 2.804 2.5791
88.5 0.0058248 0.0067979 0.0077436 0.008663 0.0095572 3.4447 3.1814 2.9338 2.7014 2.4833
89 0.0057598 0.0067221 0.0076572 0.0085664 0.0094505 3.3233 3.0675 2.8272 2.6017 2.3903
89.5 0.0056956 0.0066471 0.0075718 0.0084709 0.0093452 3.2052 2.9567 2.7234 2.5048 2.3
90 0.0056322 0.0065731 0.0074875 0.0083765 0.0092411 3.0901 2.8489 2.6226 2.4107 2.2124
90.5 0.0055695 0.0065 0.0074043 0.0082834 0.0091383 2.9782 2.7441 2.5247 2.3193 2.1274
91 0.0055077 0.0064278 0.007322 0.0081913 0.0090368 2.8693 2.6422 2.4295 2.2307 2.0449
91.5 0.0054465 0.0063565 0.0072407 0.0081004 0.0089365 2.7634 2.5432 2.3372 2.1446 1.965
92 0.0053862 0.006286 0.0071605 0.0080106 0.0088375 2.6605 2.447 2.2475 2.0612 1.8875
92.5 0.0053265 0.0062164 0.0070812 0.0079219 0.0087396 2.5605 2.3537 2.1605 1.9804 1.8125
93 0.0052676 0.0061476 0.0070029 0.0078343 0.0086429 2.4634 2.2631 2.0762 1.902 1.7399
93.5 0.0052094 0.0060797 0.0069255 0.0077477 0.0085474 2.3691 2.1752 1.9944 1.8261 1.6696
94 0.0051519 0.0060126 0.006849 0.0076622 0.0084531 2.2776 2.09 1.9152 1.7526 1.6016
94.5 0.0050951 0.0059463 0.0067735 0.0075777 0.0083599 2.1888 2.0074 1.8385 1.6815 1.5358
95 0.005039 0.0058808 0.0066989 0.0074943 0.0082678 2.1027 1.9273 1.7642 1.6127 1.4722
95.5 0.0049835 0.0058161 0.0066252 0.0074118 0.0081768 2.0193 1.8498 1.6923 1.5462 1.4108
96 0.0049287 0.0057521 0.0065524 0.0073303 0.0080869 1.9384 1.7747 1.6228 1.4819 1.3515
96.5 0.0048746 0.005689 0.0064804 0.0072498 0.0079981 1.8601 1.7021 1.5555 1.4198 1.2942
97 0.0048211 0.0056266 0.0064093 0.0071703 0.0079104 1.7843 1.6318 1.4906 1.3598 1.239
97.5 0.0047683 0.0055649 0.0063391 0.0070917 0.0078237 1.7109 1.5639 1.4278 1.3019 1.1857
98 0.0047161 0.005504 0.0062697 0.0070141 0.007738 1.64 1.4982 1.3672 1.2461 1.1343
98.5 0.0046645 0.0054438 0.0062011 0.0069374 0.0076534 1.5714 1.4348 1.3086 1.1922 1.0848
99 0.0046135 0.0053843 0.0061333 0.0068616 0.0075698 1.5051 1.3736 1.2522 1.1402 1.0371
99.5 0.0045632 0.0053255 0.0060664 0.0067867 0.0074871 1.4411 1.3145 1.1978 1.0902 0.99114
100 0.0045134 0.0052674 0.0060002 0.0067126 0.0074055 1.3793 1.2575 1.1453 1.042 0.94694
